,area_type,location,total_sqft,bath,balcony,price,BHK
3285,2,Whitefield,500Sq. Yards,4.0,2.0,378.0,4
3356,3,Yelahanka,2806 - 3019,6.0,0.0,125.5,4
3364,3,Whitefield,613 - 648,1.0,0.0,32.79,1
3370,3,Kanakpura Road,1430 - 1630,2.0,2.0,66.4,3
3468,3,Yeshwanthpur,704 - 730,2.0,0.0,49.475,2
3544,3,Hennur Road,1482 - 1846,2.0,2.0,93.865,3
3598,3,Haralur Road,2805 - 3565,2.0,2.0,175.0,4
3862,3,Jigani,3293 - 5314,2.0,2.0,226.0,4
3890,3,Tumkur Road,1210 - 1477,3.0,0.0,57.76,3
3947,0,Sarjapur  Road,3369 - 3464,6.0,0.0,143.0,4
3984,3,Uttarahalli,1125 - 1500,3.0,0.0,51.19,3
4113,3,BTM Layout,167Sq. Meter,3.0,2.0,10.0,3
4122,3,Tumkur Road,1076 - 1199,2.0,0.0,48.905,2
4190,1,Kanakpura Road,381 - 535,1.0,0.0,19.695,1
4210,3,Malleshwaram,2215 - 2475,2.0,2.0,293.0,3
4226,3,Whitefield,524 - 894,1.0,0.0,34.385,1
4289,3,Yeshwanthpur,540 - 670,1.0,0.0,41.745,1
4293,0,Bannerghatta Road,315Sq. Yards,5.0,2.0,260.0,4
4346,3,Whitefield,1650 - 2538,2.0,2.0,113.19,3
4497,3,Iblur Village,2725 - 3250,5.0,0.0,191.0,4
4843,3,Bhoganhalli,1974 - 2171,2.0,2.0,111.0,4
4884,3,Electronic City Phase II,888 - 1290,2.0,0.0,32.67,2
4894,3,Bommanahalli,1360 - 1890,2.0,2.0,87.72,3
4995,3,Hebbal,2466 - 2856,2.0,2.0,226.5,3
5179,3,Rachenahalli,660 - 700,1.0,0.0,32.64,1
5285,3, Rachenahalli,385 - 440,1.0,0.0,19.8,1
5374,3,Varthur Road,770 - 841,2.0,0.0,19.33,2
5382,3,Whitefield,524 - 894,1.0,0.0,34.735,1
5453,2,Kannur,3Cents,6.0,3.0,75.0,6
5464,3,KR Puram,1310 - 1615,2.0,2.0,62.81,3
5498,0,Chandapura,1782 - 2000,2.0,2.0,66.165,4
5537,0,Frazer Town,188.89Sq. Yards,3.0,1.0,180.0,3
5599,3,Hormavu,1469 - 1766,3.0,0.0,73.595,3
